Wall time,Step,Value
1589685885.0277774,23,32030194.0
1589685908.326677,46,16473543.0
1589685931.8759406,69,13372423.0
1589685955.3439193,92,12625497.0
1589685978.950179,115,3894370.75
1589686002.102568,138,1443480.0
1589686025.0321584,161,215866.828125
1589686048.5479047,184,78448.2421875
1589686072.3075266,207,41342.76953125
1589686095.972095,230,42703.25
1589686119.5049586,253,36152.984375
1589686143.16326,276,21673.1015625
1589686167.015953,299,20165.935546875
1589686189.8186178,322,23102.021484375
1589686212.463171,345,38030.17578125
1589686236.4759245,368,22570.771484375
1589686260.1161532,391,11080.599609375
1589686282.8511183,414,8257.8466796875
1589686305.3624394,437,8139.83447265625
1589686328.5630474,460,6673.35205078125
1589686351.423687,483,10893.8505859375
1589686374.270144,506,13371.9892578125
1589686397.4305503,529,5968.98876953125
1589686420.4122643,552,6888.228515625
1589686442.8670747,575,5247.4169921875
1589686465.5562146,598,4258.27294921875
1589686488.1169448,621,4460.64208984375
1589686511.5495553,644,4588.27392578125
1589686534.8332798,667,4865.12451171875
1589686557.8875952,690,4201.05419921875
1589686580.3288996,713,2305.703369140625
1589686602.7404242,736,2541.945556640625
1589686625.474119,759,2778.651611328125
1589686647.8146229,782,2786.58740234375
1589686669.861732,805,2561.4248046875
1589686692.4482324,828,2332.840087890625
1589686714.9477136,851,2057.989501953125
1589686737.828491,874,2400.33642578125
1589686761.814992,897,2431.27392578125
1589686784.35574,920,2169.899169921875
1589686806.5316834,943,2739.4150390625
1589686829.152937,966,2594.52294921875
1589686851.8938885,989,2051.935791015625
1589686874.7528317,1012,1875.578857421875
1589686897.3208668,1035,2157.431884765625
1589686919.5910661,1058,2179.288330078125
1589686942.4129398,1081,2194.772705078125
1589686964.820905,1104,2186.810791015625
1589686987.7080579,1127,1858.02587890625
1589687010.112935,1150,2361.006591796875
1589687032.9552858,1173,2162.342529296875
1589687055.1555789,1196,2316.9560546875
1589687077.6716304,1219,1574.888671875
1589687099.6152837,1242,1932.150146484375
1589687121.9153585,1265,2025.8780517578125
1589687144.258144,1288,1836.4674072265625
1589687166.4062612,1311,1860.1240234375
1589687188.641043,1334,2007.558349609375
1589687211.603217,1357,1822.2578125
1589687233.9878545,1380,2034.8760986328125
1589687255.9988701,1403,1862.712158203125
1589687278.1840334,1426,2063.903076171875
1589687300.7420053,1449,2064.805419921875
1589687323.5246706,1472,1962.4140625
1589687345.9486852,1495,1991.10498046875
1589687367.5542424,1518,2564.080810546875
1589687389.9003725,1541,2807.733154296875
1589687412.3623362,1564,2449.569580078125
1589687435.1333878,1587,3389.604736328125
1589687457.99293,1610,3131.24609375
1589687480.8237677,1633,2874.867919921875
1589687503.2163877,1656,2996.009521484375
1589687526.3435926,1679,3547.973876953125
1589687549.138305,1702,2888.43408203125
1589687571.8547354,1725,2263.873779296875
